[94170.815458] [PERCPU] Entering module.
[94170.816219] cpu[2] = 1
[94170.816247] cpu[7] = 1
[94170.816284] cpu[0] = 1
[94171.338099] cpu[2] = 2
[94171.338100] cpu[7] = 2
[94171.338122] cpu[0] = 2
[94171.850100] cpu[4] = 1
[94171.850102] cpu[7] = 3
[94171.850107] cpu[4] = 2
[94172.362089] cpu[5] = 1
[94172.362090] cpu[7] = 4
[94172.362091] cpu[4] = 3
[94172.874119] cpu[4] = 4
[94172.874121] cpu[5] = 2
[94172.878082] cpu[7] = 5
[94173.386073] cpu[4] = 5
[94173.386101] cpu[1] = 1
[94173.386102] cpu[5] = 3
[94173.902066] cpu[4] = 6
[94173.902100] cpu[5] = 4
[94173.902101] cpu[1] = 2
[94174.410062] cpu[1] = 3
[94174.414113] cpu[5] = 5
[94174.922096] cpu[5] = 6
[94175.434095] [PERCPU] Exiting module.
